title	content	date	variant	images	verified	author	rating	product	url
Very easy to set up; light and sleek.  Love it!	I have had my new fire now for just a few days, but so far, I really like it.  It is slimmer than my old one (2nd gen) and feels nice and light.  I ordered the recommended case with it and it fit beautifully, nice and snug for a very thin sleek look.  However, I have arthritis in my hands and was concerned that if I should drop it, the case might not protect it enough.  That is just for me, it would probably be perfectly adequate for the average person without gripping drifficulties.  I returned the lovely, sleek case and ordered the bulkier Moro case like I am used to.  It is doing a great job.  The new Kindle was very easy to set up and all settings were easy to find.  Definitely recommend.	10 Jun 2019	Digital Storage Capacity: 32 GB Offer Type: Lockscreen Ad-Supported Color: Black Style: Fire 7		Yes	Schpsych	5.0	Fire 7 tablet, 7" display, 16 GB, latest model (2019 release), Black	https://www.amazon.com/Fire-Tablet-7/product-reviews/B07FKR6KXF/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1
Perfect as an eReader	My favorite feature of the 2019 Kindle Fire 7 is the “Blue Shade,” easily turned on/off and adjustable via the top drop-down menu. I don’t like bright artificial blue light glaring in my eyes (not good for brain health), so it’s totally awesome Amazon put this in the new Kindle. I got this strictly as an eReader because I wanted something more book-sized than my iPhone XS Max pictured to the left of the Kindle. My Kindle 2nd Gen Paperwhite was too slow for page-turn and browsing the Kindle store. I won’t be downloading other apps or using this as a tablet. I have an iPad for tablet use. This has fast and smooth page-turning and Kindle store browsing. The only improvements I’d like to see are the battery life and for Amazon to add the Libby app to the app store. Pros: -Perfect as an eReader -Size and weight is just right for holding in one hand and the screen is about the same size as a book page -“Blue Shade” for lowering artificial blue light -Page turning and store browsing is fast and easy. Cons: -Could have a better battery life but it’s not terrible. Maybe the Kindle Paperwhite’s battery life spoiled me. -Libby app needed in the Amazon app store.	11 Jun 2019	Digital Storage Capacity: 16 GB Offer Type: Lockscreen Ad-Supported Color: Black Style: Fire 7		Yes	Samantha R.	5.0	Fire 7 tablet, 7" display, 16 GB, latest model (2019 release), Black	https://www.amazon.com/Fire-Tablet-7/product-reviews/B07FKR6KXF/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1
Nice size and weight	I really didn't need a new one but wanted the 32 GB.  It works really well so far.  Haven't had any problems.  The battery doesn't seem to last as long as it says but I have only charged it a couple times since receiving it.  Time will tell on that but it does work well.  I inserted a 128 GB mini sd card and works great, just like it should.  The blue color is really pretty and a little different than the 7th generation I have.  The thing I like the most is the 32 GB instead of the 16.  Nice upgrade.	10 Jun 2019	Digital Storage Capacity: 32 GB Offer Type: Lockscreen Ad-Supported Color: Twilight Blue Style: Fire 7		Yes	cat101	5.0	Fire 7 tablet, 7" display, 16 GB, latest model (2019 release), Black	https://www.amazon.com/Fire-Tablet-7/product-reviews/B07FKR6KXF/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1
new Fire 7 is an improvement	bought this new 2019 version of the Fire 7 for like fifty bucks plus tax etc from here on amazon. upgrading from the Fire 6 HD. really like this Fire 7 tablet. as well as all the built-in amazon stuff on this tablet, was also able to put google play store etc on this tablet -- easy peasy -- just look up how to do it on the internet. if you want a tablet, this is the one to get.	11 Jun 2019	Digital Storage Capacity: 16 GB Offer Type: Lockscreen Ad-Supported Color: Twilight Blue Style: Fire 7		Yes	ruel	5.0	Fire 7 tablet, 7" display, 16 GB, latest model (2019 release), Black	https://www.amazon.com/Fire-Tablet-7/product-reviews/B07FKR6KXF/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1
Great improvement over the previous generation - Same guts as the 8"	Your browser does not support HTML5 video. The Fire 7 has the same guts as the 8 but in a smaller and less expensive package. This is a nice performance boost over the prior generation Fire 7 and it now features an always listening feature if you're invested in the Alexa ecosystem. It can function like an echo device with a display. VIDEO INDEX: 00:48 - Hardware Overview 00:50 - Price 00:53 - Display 01:10 - Bloatware 01:31 - RAM and Storage 02:15 - Weight 02:19 - Build Quality 02:49 - Short Warranty 03:15 - Hands free Alexa support 03:25 - Technical differences vs.  8" tablet 03:31 - Processor 03:35 - OS differences 32 bit vs. 64 04:04 - RAM differences 04:44 - Ports and Buttons 04:55 - Audio 05:21 - Color case options 05:40 - Performance: Web Browsing 06:31 - Alexa Voice Commands 08:04 - Gaming: Playstation Emulator 08:37 - No Google Play Store 09:09 - Gaming: GTA Vice City 09:19 - Gaming: PacMan 256 09:52 - Kodi HEVC Video playabck 10:45 - Final Thoughts 11:36 - Official YouTube App coming soon	20 Jul 2019	Digital Storage Capacity: 16 GB Offer Type: Lockscreen Ad-Supported Color: Sage Style: Fire 7		Yes	Lon J. Seidman	5.0	Fire 7 tablet, 7" display, 16 GB, latest model (2019 release), Black	https://www.amazon.com/Fire-Tablet-7/product-reviews/B07FKR6KXF/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1
iPad to Fire convert.	Update 6/17/19 This thing is a really good value. Its really cool how much this tablet does and how little it cost compared to a iPad. It only focuses on the things you actually need it for. No useless added features like the iPad is packed and cluttered down with. Its perfect for my child. She had a iPad mini. The iPad had no blue light filter. The Fire does. It actually loads faster than the iPad as well. The screen doesn't have glare like the iPad did. Its literally perfect for my child. Parental settings are perfect and easy to access. It does everything I want. It has a curfew setting and others specifically mentioned for child use. I will be buying more for the rest of my household and myself.	12 Jun 2019	Digital Storage Capacity: 16 GB Offer Type: Without Lockscreen Ads Color: Black Style: Fire 7		Yes	chris	5.0	Fire 7 tablet, 7" display, 16 GB, latest model (2019 release), Black	https://www.amazon.com/Fire-Tablet-7/product-reviews/B07FKR6KXF/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1
I love it!	I traded in my black 7" Fire 2015 for a sage 2019, and I am so glad I did.  The main reason I traded in was the battery life wasn't what it used to be, and with the pre-order offer, how could I go wrong?  I received $10 for my trade-in, 25% off a new tablet, plus a $10 app store credit.  The new tablet is double the storage (I still put an SD card in it), a beautiful color and a newer OS. I am a 'The Simpson Tapped Out' game addict, and for a while, I couldn't play as often as I liked on the old tablet because there was an update to the game that didn't jive with older Fire tablets and caused game issues.  I switched over to my Nook Tablet 7" 2016 to play, which was a challenge in of itself.  Thankfully, my new Fire finally arrived on June 17th, and I am back to playing TSTO in full force again!  I play a couple of other games, too, as well as surf the 'net, and read books. I haven't found any issues with battery life or with it getting hot like I have read in other reviews. The only thing I was a little bummed about, which is partly my fault for not really looking and just going by what I read online is that not only did the speaker move, but the headphone jack and volume buttons switched spots, so my Poetic Turtleskin case technically doesn't line up, but for me personally, it's OK because I don't use headphones with this tablet, and I can still feel for the volume buttons.  I also have a Fintie case, which is what I use the majority of the time, and just a little bit of the left volume button is covered by the case, but it doesn't interfere with its use.	21 Jun 2019	Digital Storage Capacity: 16 GB Offer Type: Lockscreen Ad-Supported Color: Sage Style: Fire 7		Yes	Beckie	5.0	Fire 7 tablet, 7" display, 16 GB, latest model (2019 release), Black	https://www.amazon.com/Fire-Tablet-7/product-reviews/B07FKR6KXF/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1
Fàcil de usar y muy pràctica.	Divina muy económica y útil para mi bebe de 2 años de edad,  la recomiendo para todos los niños pequeños,  sobre todo por su screen que no es de vidrio,  muy adecuada para evitar accidentes.	11 Jul 2019	Digital Storage Capacity: 16 GB Offer Type: Lockscreen Ad-Supported Color: Black Style: Fire 7		Yes	Hanlys	5.0	Fire 7 tablet, 7" display, 16 GB, latest model (2019 release), Black	https://www.amazon.com/Fire-Tablet-7/product-reviews/B07FKR6KXF/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1
great tablet, lacks night mode	disclaimer: i haven't been paid to say any of this, it's my first personal experience with a tablet outside apple ecosystem. well... i'm not sure how to start this review but here it goes: DESIGN: looks good, have a headphone jack and micro sd card slot (up to 512gb if i'm not mistaken), half an inch thick, it have a good weight (not too heavy, not too light). OS: when i first started it it was veeeeery slow, updating for like 20min straight, and then it started and was still slow... i assumed it was still updating in the background so i was patient and waited a lil bit longer... eventually i started using the OS and it is kinda slow but at the same time it isn't, it's a strange feeling but not unpleasant (apple ecosystem user here) so i was aware that i wasn't using an apple device and it was just fine.... it also have its own app store (most apps for social media available) and quite other amazon services like kindle, instant video, amazon music, etc., and i love it! HOWEVER (and this is a big however) it has no true night mode, it have an amber filter to apply, the "blue shade" to reduce the blue spectrum from your device, this feature doesn't eliminate the blue filter but it adds an amber one and it's beyond annoying, i have a night mode on every device i own and this tablet kinda doesn't help to the cause of reducing the eye strain, but it's ok, i just lower (maybe more than normal) the contrast in order to reduce the light of the tablet... if they can make a true night mode upon software update it will be beyond amazing! other than that issue, i love this tablet, i can't even complain... kindle books look great, netflix movies look very good, amazon store experience it's amazing, everything it's just there... i didn't have any previous gen like many people, it's the first one for me and i like it very very much. at first the software can be a lil bit confusing but after a few hours exploring you'll realize 2 things: 1. for the price you pay, you'll have what you need for leisure and ocasional social media use and video, it's more than sufficient including some heavy content and store from amazon which is good, and 2. you  don't need google play (at least i don't need it) for the point 1, it has everything! (at least what i need) i see what amazon tries to "sell" us and it's good, it's well taken care of and i wouldn't ask for more... i'm deeply grateful that this investment has paid by itself.	19 Jun 2019	Digital Storage Capacity: 32 GB Offer Type: Lockscreen Ad-Supported Color: Black Style: Fire 7		Yes	M. F. O	5.0	Fire 7 tablet, 7" display, 16 GB, latest model (2019 release), Black	https://www.amazon.com/Fire-Tablet-7/product-reviews/B07FKR6KXF/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1
DO NOT DEREGISTER AND DON’T BELIEVE MOST OF WHAT TECH SUPPORT SAYS OR ASKS YOU	While I am happy with my new Kindle I am extremely angry that if you have an old one that used to belong to someone else the supposed tech support people fail to understand that as the person who did not initially own the older kindle and has no access to the password for the email attached to that kindle, they still told me to go ahead and DEREGISTER when I had repeatedly asked are you sure thats a good idea? And telling them again & again I have no way of signing in without a password. I was told tjat wouldnt be a problem. Well guess what? ITS A PROBLEM!!! The person that used to have the kindle before me could no longer access the password due to no longer knowing it, was unable to change it and even though they set up a different email account was told that wasnt enough. I, myself spent a whole day with tech support and some woman who’s JOB is to HELP, she couldnt  stop eating long enough to pay attention to what she was being told! She wamted to speak with the previous owner of the kindle and even that wasn’t enough. All I wanted was to be able to access ALL of my ebooks to transfer them to my new Kindle.  I ended up with a Kindle I can longer use to do anything with except use Safari. The new kindle fire is very light in weight, I didnt get an 8 or above just a 7 inch again, sage green color on back. IF I can get the issue fixed I’ll have better to say about Tech support and more about the new kindle.	22 Jun 2019	Digital Storage Capacity: 32 GB Offer Type: Lockscreen Ad-Supported Color: Sage Style: Fire 7		Yes	Robyn Facchiano	5.0	Fire 7 tablet, 7" display, 16 GB, latest model (2019 release), Black	https://www.amazon.com/Fire-Tablet-7/product-reviews/B07FKR6KXF/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1
